"ID","Collection","ENS","Minting Date","Tx Count","Power"
"73","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Thu 09 Mar 2023 18:54:24 GMT","1","1483"
"74","0x96d4f0e75ae86e4c46cd8e9d4ae2f2309bd6ec45","","Thu 09 Mar 2023 18:54:24 GMT","1","22"
"75","0x9a5e4d421d72bc1835e6a7b9658ca1924d12d0e0","","Thu 09 Mar 2023 18:54:24 GMT","1","48"
"76","0x3203b7a45b2af35c6bee7871a39f54d0dfdf777e","","Thu 09 Mar 2023 18:54:24 GMT","1","7"
"77","0x8cb85b3fae649b1ce508dcd31dcb0b9023a1fb2d","","Thu 09 Mar 2023 18:54:24 GMT","1","12"
"78","0x5e7b645d5bf86750cb1913122ba8a8545e2a9fd1","","Thu 09 Mar 2023 18:54:24 GMT","1","13"
"79","0x60dad8350bba2b4f2c8fbe5d1c2a25d79a1fc8d5","0xtoucan.eth","Thu 09 Mar 2023 18:54:24 GMT","3","134"
"80","0x97fe57660003e62662e45c48634b9cee2a50e2d6","","Thu 09 Mar 2023 18:54:24 GMT","1","4"
"81","0xd1220a0cf47c7b9be7a2e6ba89f429762e7b9adb","alex.vandesande.eth","Thu 09 Mar 2023 18:54:24 GMT","1","12"
"82","0x1a0b8eb610ed3489b577892950bb6be36358167d","wuehler.eth","Thu 09 Mar 2023 18:54:24 GMT","1","19"
"84","0x8bf72fce8eb936a270558f490e1df6f9d2c0f833","","Thu 09 Mar 2023 18:54:24 GMT","1","12"
"85","0x63441c21cd588a0ff175aba82628df8ac03f28ba","","Thu 09 Mar 2023 18:54:24 GMT","1","11"
"86","0x4aef8ecf49d105eed1b0a7bc439215faf6ce4bf6","","Thu 09 Mar 2023 18:54:24 GMT","1","7"
"87","0x0b9df1c24830ba18c097d97aaeda925b6ca70c84","","Thu 09 Mar 2023 18:54:24 GMT","1","10"
"88","0x2ccf2e37b2a2a3f42e647adc16d37e8534b75d30","","Thu 09 Mar 2023 18:54:24 GMT","1","7"
"1112","0x65e3acec9cd5b865fa992a2f5e66f1d9558878a7","","Thu 09 Mar 2023 18:54:24 GMT","1","15"
"1126","0x1dba1131000664b884a1ba238464159892252d3a","baylina.eth","Thu 09 Mar 2023 18:54:24 GMT","1","21"
"1496","0x9d8e4e3748da101c664bbb5375ffd90683a27509","","Thu 09 Mar 2023 18:54:24 GMT","1","83"
"1539","0xe8099ce185aa25162d74d0455080c5b7c08c1660","","Thu 09 Mar 2023 18:54:24 GMT","1","11"
"2624","0xf5dbd20a5345c7eafc92038efebee3c85f6b9b68","devcon11.eth","Thu 09 Mar 2023 18:54:24 GMT","1","22"
"2651","0xcc0fbb4187614c664b1af145ceb7bb8c480b3fab","tomteman.eth","Thu 09 Mar 2023 18:54:24 GMT","1","13"
"2661","0xeae0ddad0ad7d62119d4cb4b8f8973a4d77d9407","exiledsurfer.eth","Thu 09 Mar 2023 18:54:24 GMT","1","24"
"2676","0xac9ba72fb61aa7c31a95df0a8b6eba6f41ef875e","jdetychey.eth","Thu 09 Mar 2023 18:54:24 GMT","1","60"
"2726","0x52e2a3b644f25e30fb75d03a1249a45492f00de9","","Thu 09 Mar 2023 18:54:24 GMT","1","13"
"2781","0xade965ddd3377fa58c084ed651e55d4f41821fea","","Thu 09 Mar 2023 18:54:24 GMT","1","8"
"3570","0x5cb5fc9b678c5f5b7b37d73475869fb56f632e3a","gluk64.argent.xyz","Thu 09 Mar 2023 18:54:24 GMT","1","14"
"4956","0xb967ec71a71771df5f669c13541b59108dbfaf48","","Thu 09 Mar 2023 18:54:24 GMT","1","12"
"4985","0x06c2c4db3776d500636de63e4f109386dcba6ae2","pluch.eth","Thu 09 Mar 2023 18:54:24 GMT","2","76"
"5261","0x8d6e448b0cf0ec09e3b812a7714ba52354a0cf33","","Thu 09 Mar 2023 18:54:24 GMT","1","13"
"6905","0xd3ed2b8756b942c98c851722f3bd507a17b4745f","","Thu 09 Mar 2023 18:54:24 GMT","1","153"
"7853","0xc7a14f97ca063ad5aac3adc837d09e9f13ba63fa","franzi.eth","Thu 09 Mar 2023 18:54:24 GMT","1","73"
"346149","0x068484f7bd2b7d7c5a698d89e75ddcaf3a92b879","","Sun 13 Jun 2021 21:15:10 GMT","1","123"
