"rank","address","partiscore_absolute","partiscore_percentile","number_of_daos","number_of_proposals","number_of_votes"
1.0,"0x5ad75f8b6a44734a886c5ebb2e999971fc8a1d5f",628.7940049566581,100.0,13.0,0.0,4566.0
2.0,"0xe6b4a4972abe38820322af468f3aee439f652704",626.651214528847,99.99997825850163,10.0,0.0,4569.0
3.0,"0x3951d734bbd956761802a7f4297ccade69bde9d9",618.7917479065854,99.99995651700327,8.0,0.0,4502.0
4.0,"0x1f2910331d564341ba9a9762f2b7eca182230b2f",600.0407750048901,99.9999347755049,16.0,4.0,4335.0
5.0,"0x8aeec595cf608d593881af5628358c8a9c655370",595.4083960637533,99.99991303400652,8.0,0.0,4317.0
6.0,"0x5e23d08324f017d5425e59a2782c9ae27ace0958",454.01805886395965,99.99989129250815,1.0,1394.0,1.0
7.0,"0xd9293636ee3aa663fc563adb0912b0705dafb62c",230.64508468012284,99.9998695510098,74.0,0.0,2726.0
8.0,"0x83de8e0abd5802b6c8c30bda0ef7b30d2dede982",229.3753818267131,99.99984780951142,6.0,0.0,1701.0
9.0,"0xcab78cde07f02b614ec2f12fae179506e38aeb74",228.78052523754846,99.99982606801306,6.0,0.0,1693.0
10.0,"0x18bf1760f51f7aa4c09a12f797ed8234f8091ea8",223.09495251991498,99.99980432651469,7.0,0.0,1622.0
11.0,"0x7bb5c741f9e4df849c3c81f57222ab6752ace344",222.41981602147803,99.99978258501633,7.0,0.0,1617.0
12.0,"0x4ddc9139099209e8437a33652e5203f2fd092c68",217.40357803199103,99.99976084351796,7.0,0.0,1579.0
13.0,"0x7371c7d15ccba70719fd01d62956805870e25354",209.3855589777798,99.99973910201959,8.0,0.0,1577.0
14.0,"WabxR2gcdMgovS6Uo5JD4Cv9me7uExRyaH4QDKrp64b",208.84096800699965,99.99971736052122,1.0,379.0,430.0
15.0,"0x6222ceac2f78e8e6500e2e3853914f63959e2481",199.2042501042608,99.99969561902286,6.0,0.0,1417.0
16.0,"0xe15528f5a49f099aaa24fe82ca99836d4a418f1a",153.635849815738,99.99967387752449,1.0,820.0,1.0
17.0,"fAGgdvAYwqCwpt3Wda1mzpACnNyESbfgfgvm1RLSudBsUEu",149.33569904063484,99.99965213602611,2.0,292.0,386.0
18.0,"GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj",103.80877109152743,99.99963039452776,2.0,280.0,265.0
19.0,"0xCfBF79A75A35baa595b7E0d376C87fA47f6ef3da",93.6167364219331,99.99960865302938,4.0,206.0,198.0
20.0,"0xd03ad690ed8065edfdc1e08197a3ebc71535a7ff",93.5944648489223,99.99958691153101,74.0,0.0,837.0
21.0,"A4PzGUimdCMv8xvT5gK2fxonXqMMayDm3eSXRvXZhjzU",92.38644149022204,99.99956517003264,4.0,139.0,366.0
22.0,"0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9",90.77326779239206,99.99954342853428,59.0,7.0,696.0
23.0,"0x1ccb144b700ec726d37db38c617e154de6d9c0d0",88.74519985455461,99.99952168703592,66.0,0.0,816.0
24.0,"0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7",83.98243090430323,99.99949994553755,74.0,0.0,967.0
25.0,"0x06c4865ab16c9c760622f19a313a2e637e2e66a2",82.88060247294266,99.99947820403918,30.0,0.0,786.0
26.0,"0x724061efdfef4a421e8be05133ad24922d07b5bf",82.73257759745368,99.99945646254082,1.0,223.0,1.0
27.0,"0x32a59b87352e980dd6ab1baf462696d28e63525d",81.28171591279198,99.99943472104245,95.0,1.0,629.0
28.0,"1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL",80.36217334136425,99.99941297954408,2.0,211.0,160.0
29.0,"0x512fce9b07ce64590849115ee6b32fd40ec0f5f3",80.11053705598536,99.9993912380457,22.0,143.0,194.0
30.0,"0xb9b93bf2db3678b010e71ef701d763aee144e93e",78.30862281980856,99.99936949654735,84.0,0.0,890.0
31.0,"0x38daea6f17e4308b0da9647db9ca6d84a3a7e195",77.18788995967846,99.99934775504897,52.0,1.0,808.0
32.0,"0xc54a6c3778016b06cbd126ccc3b5bc06c5f666fb",76.0476494859833,99.9993260135506,20.0,2.0,716.0
33.0,"0x28c173b8f20488eef1b0f48df8453a2f59c38337",71.72211802974321,99.99930427205224,10.0,149.0,184.0
34.0,"0x5566b3e5fc300a1b28c214b49a5950c34d00eb33",71.05406962278026,99.99928253055387,1.0,329.0,2.0
35.0,"fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw",71.04634508846658,99.9992607890555,2.0,97.0,301.0
36.0,"0xc26892f608b3e97a24149f9c273449416e222060",70.24894908111386,99.99923904755713,2.0,187.0,52.0
37.0,"0xa8c4e3ce1743d0f2a6c227548c982a7c40569940",68.71316794255344,99.99921730605877,42.0,0.0,460.0
38.0,"0x8d07d225a769b7af3a923481e1fdf49180e6a265",66.14771047537728,99.99919556456041,62.0,22.0,700.0
39.0,"sjiQ7dDVKgCM2gTWQQbVkFEeeJRGd37NKjKvZebrGs7",63.821076943540376,99.99917382306204,1.0,36.0,420.0
40.0,"hJmectFjn7CCEQL1tKDxvboA1i9hcfTyUrLuW3xjDqRgxmm",63.506368190311036,99.99915208156366,3.0,75.0,333.0
41.0,"0x97432c12ea8c957c3ae2d59c9953cf8df9cbc5b0",63.15901110508009,99.9991303400653,30.0,1.0,566.0
