"ID","Collection","ENS","Minting Date","Tx Count","Power"
"4028","0x7ff8b020c2ecd40613063ae1d2ee6a2a383793fa","","10/4/2019","1","36"
"4259","0xc55e5dadfa858ca2048d5bb0b536f84913cf4f19","","10/6/2019","1","33"
"4260","0xac1c5131f0a85eafaa637a1ab342ed8e7771212d","","10/6/2019","1","55"
"4261","0x9c9c51e479a531e714594ab04db4b79a39662991","","10/6/2019","1","14"
"4262","0xf6b6f07862a02c85628b3a9688beae07fea9c863","","10/6/2019","1","102"
"4281","0xb5b5d4b2365d449cb616f8e2c93786ca34f033ee","","10/6/2019","1","2"
"4282","0x70564145fa8e8a15348ef0190e6b7c07a2120462","","10/6/2019","1","13"
"4283","0x69568f518102ea935ad2076d088243c6ab0d490f","","10/6/2019","1","1"
"4284","0x3d0f27aaa083262e5ec590c5e9db4b2dfe4732ff","","10/6/2019","1","1"
"4285","0x5cb5fc9b678c5f5b7b37d73475869fb56f632e3a","","10/6/2019","1","14"
"4286","0x5b8d544b46f33166738dd5d74d39510fae9c1b4c","","10/6/2019","1","3"
"4287","0x4a2ea96722b01c1e626fba0f4806257454c24458","","10/6/2019","1","4"
"4288","0xc2ff0b1a7f8a2013153c5d097706e056dd135295","","10/6/2019","1","2"
"4289","0xf8a065f287d91d77cd626af38ffa220d9b552a2b","","10/6/2019","1","1"
"4290","0x32f721bb492eaec0d704376b4125d36ea244eb65","","10/6/2019","2","2"
"4291","0x66dce44a16d17b9186f2cc7e83249152936fce08","","10/6/2019","1","2"
"4293","0x99bbd7479ce8e6107f1700e34d6f3cec07bb18ef","","10/7/2019","1","1"
"4294","0x99962e7d109833dfc78530587ed71270a6060040","","10/7/2019","1","1"
"4295","0x35293f45d559487d9e8a26aa8bd06f84a38f3929","","10/7/2019","1","6"
"4296","0x15ba57258b948cfda369ddc88247196b07bfcee4","","10/7/2019","1","1"
"4297","0x1dba1131000664b884a1ba238464159892252d3a","","10/7/2019","1","12"
"4298","0xc31372db84e456193e72a162928539c8f5999ff6","","10/7/2019","1","1"
"4299","0x1057bea69c9add11c6e3de296866aff98366cfe3","","10/7/2019","1","5"
"4300","0x5a9e792143bf2708b4765c144451dca54f559a19","","10/7/2019","1","12"
"4301","0x7859821024e633c5dc8a4fcf86fc52e7720ce525","","10/7/2019","1","68"
"4302","0xb8d65d7487f763013d4ea5084ca57f73527e3dee","","10/7/2019","1","10"
"4303","0x8f6e8306fe11ccb22b490100a86e2d3ac3233af3","","10/7/2019","1","1"
"4304","0xefef50ebacd8da3c13932ac204361b704eb8292c","","10/7/2019","1","2"
"4305","0xaa679e4ee126f49c4c7e06bffae0f64562e74deb","","10/7/2019","1","4"
"4306","0x2a87e5f2e22c0c31edd269be48d73ee6b2b240be","","10/7/2019","1","2"
"4307","0xb1ec5a1a7bd30287db8f258e55e36420de8e10a8","","10/7/2019","1","1"
"4308","0x00a839de7922491683f547a67795204763ff8237","","10/7/2019","1","25"
"4309","0x6b29132ea388a308578c1d3be068d0e4fc9915a2","","10/7/2019","1","1"
"4310","0x5a5d60a0a0e9515e500c9b6e4c5fcd4e81bd753d","","10/7/2019","1","1"
"4311","0x2f07ce39c53decae179ba5e797ce98f78e7332fc","","10/7/2019","1","1"
"4312","0x866b3c4994e1416b7c738b9818b31dc246b95eee","","10/7/2019","1","6"
"4313","0xc825cc047b278791158ed511a558b868149596d0","","10/7/2019","1","1"
"4314","0x99105365d51250c71fbb0d59113a80996b301cbd","","10/7/2019","1","7"
"4315","0x1749ad951fb612b42dc105944da86c362a783487","","10/7/2019","1","4"
"4316","0x23936429fc179da0e1300644fb3b489c736d562f","","10/7/2019","1","5"
"4317","0xd495a8691c30dcc9821fb784b1f09cf158b5a493","","10/7/2019","1","1"
"4318","0xf02b9adef6cbd7cc1265e5af28e5a98128c19519","","10/7/2019","1","1"
"4319","0x18aa74ea8fc624a493cf62a89d41fc6737d8cd86","","10/7/2019","3","3"
"4320","0xfd48a165e7447cdd311ff884e9b3c552e8b82b32","","10/7/2019","1","1"
