"ID","Collection","ENS","Minting Date","Tx Count","Power"
"5728845","0x3d5d2ac4fecf16bb1651a445d5b17f977a823546","","Sun 09 Oct 2022 15:21:25 GMT","1","3"
"5734301","0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6","few.com","Mon 10 Oct 2022 22:18:35 GMT","2","4"
"5782331","0x806164c929ad3a6f4bd70c2370b3ef36c64deaa8","tranqui.eth","Mon 17 Oct 2022 02:52:25 GMT","1","20"
"5782354","0xeae0c4e7f7eb66286cb9379ee6dd8a36edcf6f7f","","Mon 17 Oct 2022 03:32:35 GMT","1","2"
"5782388","0xbb32a4d3851c626f132b4c1f354f7bcd56e89129","","Mon 17 Oct 2022 04:17:50 GMT","1","3"
"5782458","0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1","kennethng.eth","Mon 17 Oct 2022 06:22:50 GMT","1","47"
"5782563","0x64de0fea85d9526b52e8ede0b7687e147c3098d0","","Mon 17 Oct 2022 08:06:30 GMT","1","6"
"5782580","0xb80dd8ff9d7c1c81cfa55f0f984b4a9f543a51c6","knusperhaus.eth","Mon 17 Oct 2022 08:29:00 GMT","1","11"
"5782581","0x8f9113a03cf99413eed9074c13437eb5baf6ec4c","0xignasi.eth","Mon 17 Oct 2022 08:34:10 GMT","1","29"
"5782609","0xc657c7765389d50082e6b7fb19d03f468c0583f0","nagydani.ethereum.eth","Mon 17 Oct 2022 08:58:50 GMT","1","4"
"5782633","0x095ea96965515083f77dd2a8732f162205397340","","Mon 17 Oct 2022 09:51:25 GMT","1","1"
"5782641","0x09825ac4fb2189bb789c155633b8a78407d64004","","Mon 17 Oct 2022 10:19:35 GMT","1","4"
"5782739","0xc0ce98839cc5625874bea3c68ac08deb79dfb98e","","Mon 17 Oct 2022 12:19:55 GMT","1","10"
"5782747","0xac420a76f54151fb2346ce50fbd549a6b4d865ae","","Mon 17 Oct 2022 12:23:20 GMT","1","1"
"5782756","0x46cd90445349e64f895c403c23839e79eb4065e4","","Mon 17 Oct 2022 12:35:15 GMT","1","43"
"5782761","0x94a04bf06a7a5a80468bce896f45c987f2c61e9c","eggcarton123.eth","Mon 17 Oct 2022 12:43:05 GMT","1","6"
"5782762","0x0ff2e658c8e20362314f863815959c25219cc467","najarami.eth","Mon 17 Oct 2022 12:44:35 GMT","1","20"
"5782768","0xe320de9a238418c97ceee094e4fd01e9e76d3af3","galron.eth","Mon 17 Oct 2022 12:50:50 GMT","1","2"
"5782780","0xf2dfcae8fef5b5cd5d89a527d193da567a5d6297","tomso.eth","Mon 17 Oct 2022 13:00:15 GMT","1","485"
"5782781","0x224ae706833caa3260c4b89c716adae08e4752ed","","Mon 17 Oct 2022 13:00:50 GMT","1","3"
"5782790","0xdae005395074c3073328adff5a6bc9196b1ff977","corwintines.eth","Mon 17 Oct 2022 13:09:40 GMT","1","78"
"5782850","0x31405c75b474354df3d0562fd26164998c2ffd03","estefi.eth","Mon 17 Oct 2022 13:33:30 GMT","1","8"
"5782945","0x7cb71635162db9282554d7a9b808e8dea2bf55cb","","Mon 17 Oct 2022 14:27:05 GMT","1","13"
"5783595","0x9d027e86c17c5a22c52bdf1b7e559b55b91c1bf6","","Mon 17 Oct 2022 14:43:20 GMT","1","10"
"5784484","0x978452c747ee0b617285caf3c50cae0103af5656","josefje.eth","Mon 17 Oct 2022 15:14:10 GMT","1","96"
"5784791","0x03a64ad3b7147bb1ecbf778f435afb969316fdf4","pablinux.eth","Mon 17 Oct 2022 15:37:05 GMT","1","2"
"5784857","0x569c529f5b658b6b2da317012f00f7037c8d427f","btcurenas.eth","Mon 17 Oct 2022 15:43:00 GMT","1","6"
"5784865","0x3bdb3c2dca4c927370c04e65e7e8acc97652b4d3","","Mon 17 Oct 2022 15:44:00 GMT","1","2"
"5785372","0x00874b14ec1e9430f3c9870f02fdb25a6183d7ab","","Mon 17 Oct 2022 16:24:05 GMT","1","11"
"5785384","0x2215a197a32834ef93c4d1029551bb8d3b924dcc","theref.eth","Mon 17 Oct 2022 16:25:25 GMT","1","8"
"5785448","0x2e9085371da7871f28d5b01f9c21f39cead03384","naopiart.eth","Mon 17 Oct 2022 16:32:45 GMT","1","32"
"5786085","0x8b56d0f305d26d9e7cb5f852cd0b578249859cfb","cryptonymous.eth","Mon 17 Oct 2022 17:46:35 GMT","1","2"
"5786467","0x7d3335fe8189f655f466603327d00d6abbf6c441","organix.eth","Mon 17 Oct 2022 18:20:05 GMT","1","16"
"5786502","0x9b6568d72a6f6269049fac3998d1fadf1e6263cc","carlosdp.eth","Mon 17 Oct 2022 18:27:35 GMT","1","30"
"5786782","0x7efce4683f2cf1d68674464ad1a3b04a124eb4eb","chinopaisa.eth","Mon 17 Oct 2022 18:58:40 GMT","1","1"
"5786809","0x88004441a0f79727d19a2697344244c901736e0a","girijoma.eth","Mon 17 Oct 2022 19:03:40 GMT","1","51"
"5786819","0x7945d14c74bd0be89a2a6bd234404ab0f35f0a98","anasofi.eth","Mon 17 Oct 2022 19:07:45 GMT","1","3"
"5786827","0x85e5472752a6f00775faca4d5179bde1081571b0","anisofim.eth","Mon 17 Oct 2022 19:09:10 GMT","1","7"
"5787069","0x47e4c324bc5539be3dd8588ecc6ce31295b693e5","","Mon 17 Oct 2022 19:56:10 GMT","1","8"
"5787161","0x9a4ac4571ae307d3d18fae3a7fa769df6f790a8a","","Mon 17 Oct 2022 20:12:45 GMT","1","11"
"5787279","0x5ed2516e649926fef80b3fc8d6c58caf981f2932","amanda.eth","Mon 17 Oct 2022 20:41:40 GMT","1","6"
"5787280","0xf52538649fad81bf5fa1c53d6c6cd969487adc95","","Mon 17 Oct 2022 20:41:40 GMT","1","1"
"5787302","0xd6a1bdff2e448a6cdb7358f6eb156aeefa55366d","","Mon 17 Oct 2022 20:47:05 GMT","1","1"
"5787394","0x7ca7f2cc60b3901fa5f07cf91cb02f124ff47c56","","Mon 17 Oct 2022 21:14:15 GMT","1","13"
"5787464","0x3000d8014f31f845e2b0dd3505d8ff52c122d2b5","","Mon 17 Oct 2022 21:37:10 GMT","1","10"
"5787515","0x8980aeeaae893bd09eefa1d6f600efb8478f4c51","","Mon 17 Oct 2022 21:47:45 GMT","1","1"
"5787550","0xc04649d1e17897edf29b2104c92f903be2cf6466","","Mon 17 Oct 2022 22:02:05 GMT","1","13"
"5787652","0xb9259aeedf68948647be301844174f5e249c2948","brandoniles.eth","Mon 17 Oct 2022 22:24:20 GMT","1","5"
"5787871","0xf2e4a33ba8963372d95c061d2592a212e57287f5","elchanguito.eth","Mon 17 Oct 2022 23:05:30 GMT","1","86"
"5787954","0xfd4d12833bd0954464fb29a1d3ddac153046716d","ttaylor.eth","Mon 17 Oct 2022 23:20:15 GMT","1","10"
"5788061","0x4af210f7bb3bcbb8a0613a4237a0211ad8ff94db","shawnc.eth","Mon 17 Oct 2022 23:32:05 GMT","1","11"
"5788352","0xf3b2a5c54aa76970471820bd1bf1e90e64f2cfc5","","Tue 18 Oct 2022 00:12:20 GMT","1","9"
"5788353","0xbfb744bf537a17fdcd66e79c0231e6cfeaa428b9","neetori.eth","Tue 18 Oct 2022 00:12:25 GMT","1","16"
"5788366","0x0fca704f38155f11974044d33d022620e0e83194","","Tue 18 Oct 2022 00:19:35 GMT","1","9"
"5788386","0x8b7d8c48f67269b11d24d091d64ad1a43c480cce","bghughes.eth","Tue 18 Oct 2022 00:23:30 GMT","1","7"
