"ID","Collection","ENS","Minting Date","Tx Count","Power"
"648","0x983110309620d911731ac0932219af06091b6744","brantly.eth","Thu 09 Mar 2023 18:54:36 GMT","2","504"
"649","0x053d8120a0a66f4eee6545d13d664a421c5fa800","","Thu 09 Mar 2023 18:54:36 GMT","1","3"
"650","0x554c5af96e9e3c05aec01ce18221d0dd25975ab4","","Thu 09 Mar 2023 18:54:36 GMT","1","22"
"651","0x8ba1e997831202bec0f5de713fe5093b413066f3","","Thu 09 Mar 2023 18:54:36 GMT","1","2"
"652","0x11e4857bb9993a50c685a79afad4e6f65d518dda","","Thu 09 Mar 2023 18:54:36 GMT","1","11"
"653","0xc616c6868eabdf04b1d63447d5f695d92ab205cd","","Thu 09 Mar 2023 18:54:36 GMT","1","5"
"654","0x85f0ad9533aea4fdc870a8b93b0f7e71c018efcd","sunnya97.eth","Thu 09 Mar 2023 18:54:36 GMT","1","27"
"655","0xfd7345c893c3620f78eece517542c86f74f88add","","Thu 09 Mar 2023 18:54:36 GMT","1","5"
"656","0x61060d8ba5883f047c7b0a3bf7c5e4e1a314bfc2","lanechain.eth","Thu 09 Mar 2023 18:54:36 GMT","1","124"
"657","0x42f9134e9d3bf7eee1f8a5ac2a4328b059e7468c","kain.eth","Thu 09 Mar 2023 18:54:36 GMT","2","18"
"659","0xf78c5fbe8c395a91cc88e106ac8da7e5e5f7ec31","","Thu 09 Mar 2023 18:54:36 GMT","1","1"
"660","0xe8d848debb3a3e12aa815b15900c8e020b863f31","dennisonbertram.eth","Thu 09 Mar 2023 18:54:36 GMT","1","23"
"661","0x86ef51d1fe9a090d66c92fe47b063df5a62dd419","","Thu 09 Mar 2023 18:54:36 GMT","1","1"
"662","0x811a16ebf03c20d9333ff5321372d86da9ad1f2e","","Thu 09 Mar 2023 18:54:36 GMT","1","11"
"663","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Thu 09 Mar 2023 18:54:36 GMT","1","1483"
"664","0xa2e787fcd301ebe1017252448b58758c615c609f","","Thu 09 Mar 2023 18:54:36 GMT","1","1"
"665","0x258a569245c010e99cdccb64ffd451a8b8ef8dbc","","Thu 09 Mar 2023 18:54:36 GMT","1","5"
"666","0x4cc9c92dacd2e6e3ef1956dee5aa4275aa8c9b47","","Thu 09 Mar 2023 18:54:36 GMT","1","19"
"667","0x63441c21cd588a0ff175aba82628df8ac03f28ba","","Thu 09 Mar 2023 18:54:36 GMT","1","11"
"668","0x4aef8ecf49d105eed1b0a7bc439215faf6ce4bf6","","Thu 09 Mar 2023 18:54:36 GMT","1","7"
"670","0x546e1fdbe7776728103cc7b47ba1c542682f08ae","","Thu 09 Mar 2023 18:54:36 GMT","1","3"
"671","0xc5a77c5daca1a72c459ed02235d747b9de3022de","","Thu 09 Mar 2023 18:54:36 GMT","1","11"
"672","0xedd6d7ba0ff9f4bc501a12529cb736ca76a4fe7e","","Thu 09 Mar 2023 18:54:36 GMT","1","2"
"673","0xf44112fe0cecc3a29df37f5415d3d21cfdbdc686","","Thu 09 Mar 2023 18:54:36 GMT","1","1"
"674","0x36bc92382412e7bd0cff7a8850bc812f19ee397f","","Thu 09 Mar 2023 18:54:36 GMT","1","2"
"675","0xdff1a61ad7b299da0f933705e22979e77e585d72","","Thu 09 Mar 2023 18:54:36 GMT","1","1"
"676","0x5e7b645d5bf86750cb1913122ba8a8545e2a9fd1","","Thu 09 Mar 2023 18:54:36 GMT","1","13"
"677","0x712054225ac08595422b0bee4c386bd420f7e166","chingon.eth","Thu 09 Mar 2023 18:54:36 GMT","2","1"
