"ID","Collection","ENS","Minting Date","Tx Count","Power"
"3688","0x7ff8b020c2ecd40613063ae1d2ee6a2a383793fa","","9/6/2019","1","118"
"3691","0x0e1f4145e43e74ece86a67f7725d3abcb2fd4d90","","9/6/2019","1","1"
"3692","0x99ae11f1160e825cbdce582e0a9e929d0c1975fe","","9/6/2019","1","1"
"3693","0x4e248ebf310badc78b7babb0ba8e85f5e53baf7c","","9/6/2019","1","1"
"3694","0xfa5e038e76d63fd076178e91de2ce0e33dfcb20f","","9/6/2019","1","1"
"3695","0x81671ed553ae7ed5a19671cee5fb7df0ec4fc411","","9/6/2019","1","1"
"3696","0xe89f66f783a2874face23aed8ee5a991ad2327c8","","9/6/2019","1","1"
"3697","0x7864b84e85f388149f34ec10a7be7e3a62fc6d09","","9/6/2019","1","1"
"3698","0xc1db0520504b3585269849d25c1c4370690c90f5","","9/6/2019","1","1"
"3699","0x3a5a31cf7996e950b40db8409952cd9e46e305e7","","9/6/2019","1","1"
"3700","0x006a8a496889e9983a5256f34b608ee9569ba319","","9/6/2019","2","16"
"3701","0x11e7b09b391e15084d603b2f6139dd80a62a208a","","9/6/2019","1","1"
"3702","0xe1e132d015642480ffa0230ee406053cbe77e986","","9/6/2019","1","1"
"3703","0xe7350adcf8210158d1b170e57a6f991faed585fa","","9/6/2019","1","1"
"3704","0x405f3a559a8f64073393d4c86f366eaf04ae6ecc","","9/6/2019","1","1"
"3705","0xd209db0d83b7ef7799052607dae23b3e14907060","","9/6/2019","1","1"
"3706","0xec05d0a8c32699bd3b4064324948832fdc710d94","","9/6/2019","1","1"
"3707","0xf87350c6502974651ffcc5df31261e17d2d0794f","","9/6/2019","1","1"
"3708","0x1f3d37f54ea5261a73357719b12ff9766d696ca2","","9/6/2019","1","1"
"3709","0x56e9605ed436026468202c36c5da7ff97043c176","","9/6/2019","1","1"
"3710","0x536ccd4183ae9a6508821ec63390ff366610c56f","","9/6/2019","1","1"
"3711","0x2c9e7ffad05608ff78541034f00fe01fe38ea107","","9/6/2019","1","1"
"3712","0x3abdb8929889bd4b5a4277643e6fa9931efb3a88","","9/6/2019","1","1"
"3713","0xd4b520ba0c03a4879dcc6c4ca5b3a3d98104a2cd","","9/6/2019","1","1"
"3714","0xa9876c809022f5c30c040240e1d06f0dcda53aa5","","9/6/2019","1","1"
"3715","0x6ced05e623d2ca52e4e21020180fb08e77c7b43a","","9/6/2019","1","1"
"3716","0xf06b89c5ea0e70aa2d3c7dffd47a9b37602a3390","","9/6/2019","1","1"
"3717","0xb9f48fd8fda9c353a61c34ac9f2fea35a9ab3eea","","9/6/2019","1","1"
"3718","0x68ca1deb888c9e125e5845157a8fc5662d85a2d2","","9/6/2019","1","1"
"3719","0x7eca59ff0e711bb456a84a75ec129082f4b4cebb","","9/6/2019","1","1"
"3720","0xf3abf0fde1af11348b4e7b74713b54ae8e963257","","9/6/2019","1","1"
"3721","0x73bd13bb17ab3216c7af21358a535b30c5024cdb","","9/6/2019","1","1"
"3722","0xb71359b175a99a98ba85e56ab527fa5d45977871","","9/6/2019","1","1"
"3723","0x4bae765bf6016aae57d8dfc99264d94525fbbc6d","","9/6/2019","1","1"
"3724","0x308c118dd6ded349bd4987a614feefbfcdd27723","","9/6/2019","1","1"
"3725","0x6589bf30c06c646bb317156aabd2326665026584","","9/6/2019","1","1"
"3726","0xd08e8c77d42941edd9af9203a6cadc837b980820","","9/6/2019","1","1"
"3727","0xae3ba35407652f0576c41e5076ad8fb67a6016f0","","9/6/2019","1","1"
"3728","0x3697c4af1a351dbb90e2381d0cd7336a0ad9b1dc","","9/6/2019","1","1"
"3729","0xe2915c264fe3c9870061665e261432e8e1586218","","9/6/2019","1","1"
"3730","0xc1cce68f2aaf4d3d15368ff290a3b3a84bf23e79","","9/6/2019","1","1"
"3731","0xdaf9325e933127431df526deafd738ec668c6428","","9/6/2019","1","1"
"3732","0x220f40d15e258631d3ade1be01574f1d63c23f0f","","9/6/2019","1","1"
"3733","0xe193c95288dcbfe187ee25c4e5696074e39deb87","","9/6/2019","1","1"
"3734","0xb040395e0c3f322fd28b84508ec3e030c96f5878","","9/6/2019","1","1"
"3735","0xed9c5e199c3c0482f5611b5ab127c6f8e0980e7a","","9/6/2019","1","1"
"3736","0x5dd0ec1f8f28baefff2971783d9e582189842808","","9/6/2019","1","1"
"3737","0xa82bd77c44daca89f6228653ea413a0cd8131c54","","9/6/2019","1","1"
"3738","0x8c3b776bdac9a7a4facc3cc20cdb40832bff9005","","9/6/2019","3","30"
"3739","0x166cdc0968350d56c6fab714ddcd360845c00855","","9/6/2019","1","1"
"3740","0x1349be91af7a7a0b2013e022851472728218d0c1","","9/6/2019","1","1"
"3741","0x4ca54f39fa7e56b2ee9e5730480563fe6d42c9d0","","9/6/2019","1","1"
"3742","0xabe64bedc7060a613987152c136ec306fd1ffa5c","","9/6/2019","1","1"
"3743","0xf4e6c5d88ced30b68ce5d99fc4d0bf96f2e0078a","","9/6/2019","1","1"
"3744","0x5f531dd23ab658a02fea79b7f570353f5e3745b1","","9/6/2019","1","1"
"3745","0x9d8e4e3748da101c664bbb5375ffd90683a27509","","9/6/2019","2","33"
"3746","0x0974679b2007b4ff8895220a2e433300780ad63e","","9/6/2019","1","1"
"3747","0x5e8133364b660554b6ac7547c98f7a85a66bcdca","","9/6/2019","1","1"
"3748","0x7a22b229aad38670b1bf679d402f5a92b7196a99","","9/6/2019","1","1"
"3749","0x266bf8763afea2d8a12772a4637338d1305d6b9c","","9/6/2019","1","1"
"3750","0x0dadb7b45d8f86f4cbe17755af4415776de20371","","9/6/2019","1","1"
"3751","0xa91c00e831647dfd37ce8a3104e7748ad3ebeda0","","9/6/2019","1","1"
"3752","0x45b94bc7b1179a7d5eae3c8687cab5a4d21602fb","","9/6/2019","1","1"
"3753","0x509ee3905343781318d78f317b2932342e610c71","","9/6/2019","1","1"
"3754","0xcd6dac34149ae67bb82b726c3fb45b4e163988ad","","9/6/2019","1","1"
"3755","0x17cf0f12f839bafa373ceef8918c7ea3308c05b8","","9/6/2019","1","1"
"3756","0x81d968f2eb3744ea256aec20e0d77cc8f732b8c1","","9/6/2019","1","1"
"3757","0x24e44b33b13219b815e932cec2ac9719959b3a0e","","9/6/2019","1","1"
"3758","0x5c93178d0bf2c590f01c289f8f589b70be86b42e","","9/6/2019","1","1"
"3759","0x000fd24337c075bbf65645eb157db420fc9ab658","","9/6/2019","1","1"
"3760","0x5c2675011efd851382d59c06322af170659e416a","","9/6/2019","1","1"
"3761","0x52d2f8b0b9157c66820e576229a71e1041dd3cc8","","9/6/2019","1","1"
