"ID","Collection","ENS","Minting Date","Tx Count","Power"
"247","0xf6b6f07862a02c85628b3a9688beae07fea9c863","","5/27/2019","1","348"
"248","0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2","","5/27/2019","1","185"
"249","0xa00567bd0463172dc344cb666d7fc0a71bc29742","","5/27/2019","1","5"
"250","0x68f9d801c96ac6ccf562f3600cef77c4504449b6","","5/27/2019","1","14"
"251","0x96d4f0e75ae86e4c46cd8e9d4ae2f2309bd6ec45","","5/27/2019","1","22"
"252","0x5a384227b65fa093dec03ec34e111db80a040615","","5/27/2019","1","64"
"253","0x9a5e4d421d72bc1835e6a7b9658ca1924d12d0e0","","5/27/2019","1","22"
"254","0x4e76245544a8e40501eaf0eba307249ab80bbbe4","","5/27/2019","1","13"
"255","0x614a61a3b7f2fd8750acaad63b2a0cfe8b8524f1","","5/27/2019","1","55"
"256","0x3203b7a45b2af35c6bee7871a39f54d0dfdf777e","","5/27/2019","1","7"
"258","0x811a16ebf03c20d9333ff5321372d86da9ad1f2e","","5/27/2019","1","11"
"259","0x8cb85b3fae649b1ce508dcd31dcb0b9023a1fb2d","","5/27/2019","1","11"
"260","0x9eeeafc5b503e5e6f6a78ea8a59aea8f060a50d7","","5/27/2019","1","1"
"261","0x5e7b645d5bf86750cb1913122ba8a8545e2a9fd1","","5/27/2019","1","10"
"262","0x52c78fc7ae6dec7c9fd9a77bba80a58ce2fae474","","5/27/2019","2","97"
"263","0x8bf72fce8eb936a270558f490e1df6f9d2c0f833","","5/27/2019","1","12"
"264","0x0312b8954b0feeaed741ffc9d8b9be939d0c2957","","5/27/2019","1","31"
"265","0x0c3523e1a08659cc92ac17b3af1a59553d1186e1","","5/27/2019","1","4"
"266","0x624ec4a3ffa86bcef4d06706034d1fddbc9f56b4","","5/27/2019","1","16"
"267","0x2166feece3226252ba94fb37c39777713e97fc3d","","5/27/2019","1","4"
"269","0xf7e80882bba68a32f948f71ceacd307a6dd9d008","","5/27/2019","1","8"
"270","0xcd0c599f1b6709a026978a75e0ca2021446e2ed6","","5/27/2019","1","5"
"271","0x61060d8ba5883f047c7b0a3bf7c5e4e1a314bfc2","","5/27/2019","1","41"
"272","0x42f9134e9d3bf7eee1f8a5ac2a4328b059e7468c","","5/27/2019","2","11"
"273","0x63441c21cd588a0ff175aba82628df8ac03f28ba","","5/27/2019","1","11"
"274","0x4aef8ecf49d105eed1b0a7bc439215faf6ce4bf6","","5/27/2019","1","7"
"275","0x0b9df1c24830ba18c097d97aaeda925b6ca70c84","","5/27/2019","1","10"
"276","0x2ccf2e37b2a2a3f42e647adc16d37e8534b75d30","","5/27/2019","1","6"
"277","0xe881fa7efeee30f748d3dafb8afca870038cbb74","","5/27/2019","1","8"
"278","0xcbaf142e1047142f3b6d2c5b1d0640ece29e4eb0","","5/27/2019","1","18"
"1062","0xd953e24b1433fbcce94b5f5b282aa67b7e6d59fb","","6/21/2019","1","5"
"1111","0x65e3acec9cd5b865fa992a2f5e66f1d9558878a7","","6/22/2019","1","14"
"1125","0x1dba1131000664b884a1ba238464159892252d3a","","6/22/2019","1","12"
"1153","0x9a5759d7dc56e59804c695f630e2b949bf650b43","","6/22/2019","1","8"
"1167","0x978452c747ee0b617285caf3c50cae0103af5656","","6/22/2019","1","17"
"1219","0xac1c5131f0a85eafaa637a1ab342ed8e7771212d","","6/26/2019","1","221"
"1227","0x07ab597e0e2c727b5d13e503e1dcd0627346e59b","","6/27/2019","2","32"
"1503","0x866b3c4994e1416b7c738b9818b31dc246b95eee","","8/3/2019","1","9"
"1511","0xfa9340dd02534c60f87c71dc09caa944f63e4378","","8/3/2019","1","18"
"1540","0xe8099ce185aa25162d74d0455080c5b7c08c1660","","8/4/2019","1","11"
"2620","0xf5dbd20a5345c7eafc92038efebee3c85f6b9b68","","8/19/2019","1","15"
"2636","0x6a97b098b710774288c3dfba02947bc9e9f49c40","","8/19/2019","1","6"
"2660","0xeae0ddad0ad7d62119d4cb4b8f8973a4d77d9407","","8/19/2019","1","22"
"2677","0xac9ba72fb61aa7c31a95df0a8b6eba6f41ef875e","","8/19/2019","1","24"
"2725","0x52e2a3b644f25e30fb75d03a1249a45492f00de9","","8/21/2019","1","13"
"2780","0xade965ddd3377fa58c084ed651e55d4f41821fea","","8/23/2019","1","7"
"3569","0x5cb5fc9b678c5f5b7b37d73475869fb56f632e3a","","8/24/2019","1","14"
"3680","0xc55e5dadfa858ca2048d5bb0b536f84913cf4f19","","8/30/2019","1","75"
"3975","0x8d55e7de182dcc7a6627fd424cc0a3a00e049465","","9/11/2019","1","4"
"4562","0x476791bb7a946fddb419de7f6b90f7219946f319","","10/9/2019","1","17"
"4920","0x0ed77f695e878cd60d9d66cd4845482d7af52dcc","","10/24/2019","1","5"
"4957","0xb967ec71a71771df5f669c13541b59108dbfaf48","","10/27/2019","1","12"
"4971","0x9475a4c1bf5fc80ae079303f14b523da19619c16","","10/29/2019","1","84"
"5235","0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1","","11/8/2019","1","20"
"5259","0x8d6e448b0cf0ec09e3b812a7714ba52354a0cf33","","11/8/2019","1","13"
"5288","0x4c0a466df0628fe8699051b3ac6506653191cc21","","11/9/2019","1","34"
"5364","0x8dc296c44155b40e700690234ce69c1dacd3ed12","","11/25/2019","1","36"
"6906","0xd3ed2b8756b942c98c851722f3bd507a17b4745f","","3/7/2020","1","39"
"7848","0xc7a14f97ca063ad5aac3adc837d09e9f13ba63fa","","4/1/2020","1","34"
"8169","0xac4361f56c82ed59d533d45129f407015d84702a","","4/18/2020","1","104"
"261721","0x2fe31e981032bfcd71cce70a4ab5e4214f8b4860","","5/23/2021","1","19"
"348638","0x068484f7bd2b7d7c5a698d89e75ddcaf3a92b879","","6/15/2021","1","41"
