"ID","Collection","ENS","Minting Date","Tx Count","Power"
"5633050","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Fri, 16 Sep 2022 09:56:45 GMT","1","1160"
"5633051","0x4124cf34f56fa151e05c91ace550ada0dd5aabd7","izgnzlz.eth","Fri, 16 Sep 2022 09:56:50 GMT","1","310"
"5633052","0xf2390e3d242d5621fd16e057791b66c470ee6745","","Fri, 16 Sep 2022 09:56:50 GMT","1","37"
"5633053","0xf2dfcae8fef5b5cd5d89a527d193da567a5d6297","tomso.eth","Fri, 16 Sep 2022 09:57:10 GMT","1","423"
"5633055","0xad7bcc6a16eef9bb537bc5a7bf1d7241a5ac744b","defirmware.eth","Fri, 16 Sep 2022 09:57:40 GMT","1","509"
"5633058","0x7154fc838c5942aef891dd82be1f1082cfba43ec","lorenas.eth","Fri, 16 Sep 2022 09:58:30 GMT","1","5"
"5633062","0x0553b35743639be26870cee5a1fd2bec457878d6","","Fri, 16 Sep 2022 10:00:15 GMT","1","7"
"5633063","0x5a2f9b6fbdf873ec0ea6410059d8f9d50778fa22","helsoftroy.eth","Fri, 16 Sep 2022 10:00:25 GMT","1","3"
"5633066","0xf5dbd20a5345c7eafc92038efebee3c85f6b9b68","devcon11.eth","Fri, 16 Sep 2022 10:00:45 GMT","1","22"
"5633074","0x82fb0a228be90380b8618798531e110bd55c4aff","bleesh.eth","Fri, 16 Sep 2022 10:03:05 GMT","1","26"
"5633075","0x0cec743b8ce4ef8802cac0e5df18a180ed8402a7","yfi.milkyklim.eth","Fri, 16 Sep 2022 10:03:05 GMT","1","5"
"5633076","0xefeb0b9ef8e5732bf8a6cfadf86dc7e90e15b98c","bpdesign.eth","Fri, 16 Sep 2022 10:03:15 GMT","1","2"
"5633077","0x8e00d5fc43434fe876ab08ef28bd5489f37be2f4","","Fri, 16 Sep 2022 10:03:15 GMT","1","7"
"5633082","0xb97d9350f32c1366016e2c0a55e4a210d1158b22","consul.eth","Fri, 16 Sep 2022 10:06:15 GMT","1","17"
"5633083","0xc7a14f97ca063ad5aac3adc837d09e9f13ba63fa","franzi.eth","Fri, 16 Sep 2022 10:06:30 GMT","1","65"
"5633084","0x4d7c99e0d0672abc0e9bbd4f5f82a87f2b6956da","sobhanb.eth","Fri, 16 Sep 2022 10:06:50 GMT","1","10"
"5633085","0xb0ae57803141aa771bbadfe9ea6a77bdafeb26f1","rikecodes.eth","Fri, 16 Sep 2022 10:07:30 GMT","1","10"
"5633087","0x8509a1118b13aa3a41d028a465cca57ad31bd9bb","","Fri, 16 Sep 2022 10:08:15 GMT","1","5"
"5633089","0x34d7bceaa2b3cfb1de368baa703683edc666d3f1","trcx.eth","Fri, 16 Sep 2022 10:10:15 GMT","1","17"
"5633095","0x97c44088bb74583a03e0d21e9e56cdae60a306b0","","Fri, 16 Sep 2022 10:13:25 GMT","1","2"
"5633099","0x1e17a75616cd74f5846b1b71622aa8e10ea26cc0","rektum.eth","Fri, 16 Sep 2022 10:14:50 GMT","1","27"
"5633102","0xe524d29daf6d7cdeaaaf07fa1aa7732a45f330b3","1chioku.eth","Fri, 16 Sep 2022 10:16:25 GMT","1","6"
"5633109","0x16b82aa566d322130656d4ec0f2fbe1c04f3bf0e","","Fri, 16 Sep 2022 10:19:40 GMT","1","1"
