"ID","Collection","ENS","Minting Date","Tx Count","Power"
"634","0xb8d65d7487f763013d4ea5084ca57f73527e3dee","anett.eth","Thu 09 Mar 2023 18:54:29 GMT","1","199"
"635","0xab3094eb3912a17de15434e09f957e19b32441e8","","Thu 09 Mar 2023 18:54:29 GMT","1","1"
"636","0xf97664376416e9379f2354db444bfe3f00b6936b","fiskantes.eth","Thu 09 Mar 2023 18:54:29 GMT","2","14"
"637","0x55369bcd02cec7954bbcffd46d1fdb67aa1cb3c0","","Thu 09 Mar 2023 18:54:29 GMT","1","1"
"638","0xb9566730236255fc8447f1e1cff54ec1cf2166e5","","Thu 09 Mar 2023 18:54:29 GMT","1","1"
"639","0xbdf21e8383acb9d1364a6ed940dfcbdf42a86f75","","Thu 09 Mar 2023 18:54:29 GMT","1","1"
"640","0x839395e20bbb182fa440d08f850e6c7a8f6f0780","griff.eth","Thu 09 Mar 2023 18:54:29 GMT","1","141"
"641","0x0312b8954b0feeaed741ffc9d8b9be939d0c2957","5chdn.eth","Thu 09 Mar 2023 18:54:29 GMT","1","34"
"642","0x17a813df7322f8aac5cac75eb62c0d13b8aea29d","","Thu 09 Mar 2023 18:54:29 GMT","1","1"
"643","0x0b66da2871b9545eda8082d9f78f09c3e3d7dc5e","","Thu 09 Mar 2023 18:54:29 GMT","1","9"
"645","0xe881fa7efeee30f748d3dafb8afca870038cbb74","","Thu 09 Mar 2023 18:54:29 GMT","1","8"
"646","0xd8da6bf26964af9d7eed9e03e53415d37aa96045","vitalik.eth","Thu 09 Mar 2023 18:54:29 GMT","1","142"
"1023","0x9c9c51e479a531e714594ab04db4b79a39662991","dmf7z.eth","Thu 09 Mar 2023 18:54:29 GMT","1","70"
"1491","0x9d8e4e3748da101c664bbb5375ffd90683a27509","","Thu 09 Mar 2023 18:54:29 GMT","1","83"
"2623","0xf5dbd20a5345c7eafc92038efebee3c85f6b9b68","devcon11.eth","Thu 09 Mar 2023 18:54:29 GMT","1","22"
"2753","0xa7499aa6464c078eeb940da2fc95c6acd010c3cc","bneiluj.eth","Thu 09 Mar 2023 18:54:29 GMT","1","23"
"2757","0x5f89e80d5639dac274346662c735be3440feacac","","Thu 09 Mar 2023 18:54:29 GMT","1","4"
"2782","0x624ec4a3ffa86bcef4d06706034d1fddbc9f56b4","","Thu 09 Mar 2023 18:54:29 GMT","1","16"
"4982","0x06c2c4db3776d500636de63e4f109386dcba6ae2","pluch.eth","Thu 09 Mar 2023 18:54:29 GMT","2","76"
"5361","0x8dc296c44155b40e700690234ce69c1dacd3ed12","lenklah.eth","Thu 09 Mar 2023 18:54:29 GMT","1","94"
"7847","0xc7a14f97ca063ad5aac3adc837d09e9f13ba63fa","franzi.eth","Thu 09 Mar 2023 18:54:29 GMT","1","73"
"11610","0x67b7ad376112e052227b36feaff7d600cd48b366","","Thu 09 Mar 2023 18:54:29 GMT","1","4"
"261727","0x2fe31e981032bfcd71cce70a4ab5e4214f8b4860","liam.eth","Sun 23 May 2021 22:07:45 GMT","1","49"
