"ID","Collection","ENS","Minting Date","Tx Count","Power"
"55958","0x7221b104fba7701084759fd25faca19ac6300855","","2/5/2021","1","91"
"56278","0xd714dd60e22bbb1cbafd0e40de5cfa7bbdd3f3c8","","2/6/2021","1","26"
"56279","0xcd3b8d933f8c86262a7e78e4c8f1eac7c9115c93","","2/6/2021","1","9"
"56280","0x1f38e2f1c6029a5aaaa7b4957fce7d0f50b4017b","","2/6/2021","1","2"
"56281","0x9b154bdea6d24f679f46a4f0c16a1b7ba7d3506b","","2/6/2021","1","6"
"56282","0xbc5c8dfdcb4ba38f1675e10e79a036925773bf37","","2/6/2021","1","16"
"56283","0xdfb2c3b3dd3bcc453abe7c14243128cbd616daf9","","2/6/2021","1","5"
"56284","0x5595031b898a638f94ab2d8290b4e472f8842b79","","2/6/2021","1","7"
"56285","0xa873baa34ea1868194e5937e3aefd20dd2e549ea","","2/6/2021","1","6"
"56286","0x6cc044b1f4685a1a518406e1eb2abe1dd058241c","","2/6/2021","1","7"
"56287","0xd8da6be84666bf67c451e2a88d3af349e5605caf","","2/6/2021","1","7"
"56288","0x20a372f22493279f89526a1f5d525d6c6b4abeea","","2/6/2021","1","8"
"56289","0xa686a782a4913bb0b96f69662e108fee435498bc","","2/6/2021","1","5"
"56290","0x454d798368da8e3408ae1a0133d0c881d7a33fa0","","2/6/2021","1","2"
"56291","0x51d8a66c2bfbc3c1119ab9785e4a924670140de7","","2/6/2021","1","2"
"56292","0xb79c3b9f15a4f3837193c6d170eb1c32e60304a0","","2/6/2021","1","2"
"56293","0x4c733508d142bdef365d5300bf2b38c1a9d13cb3","","2/6/2021","1","3"
"56294","0xd9d21d54fb2bf93afc62a7115a2518682a50508b","","2/6/2021","1","7"
"56295","0x5930d7b8c425dfb3a576dc1ef72eac8bf238d257","","2/6/2021","1","5"
"56296","0x3e0cf03f718520f30300266dcf4db50ba12d3331","","2/6/2021","1","48"
"56297","0xe8c2897a8b7da04e32b47c5531b8fa88e666a629","","2/6/2021","1","35"
"56298","0xf0c82a44ba3503f86f2b2772cb5038999a24c7e0","","2/6/2021","1","3"
"56299","0x3a2f30d4d41bb3fd28b787c022a8b8f410565680","","2/6/2021","1","6"
"56300","0xf709f1b6adadafae96fa6cf3cd37ea8d854b4365","","2/6/2021","1","6"
"56301","0x119ab46231fb9f183df95143084c99d7d0a050bc","","2/6/2021","1","5"
"56302","0x060362cdc200549fedb0c1de0e8b67a02e4ac4ac","","2/6/2021","1","3"
"56303","0x7d02e5a16ba38d61ac5eca5c6536f23d09e3add0","","2/6/2021","1","13"
"56304","0xeecbf4b621af07c8546df2d8776b38ae22c1ae04","","2/6/2021","1","10"
"56305","0x987daac57ea48c38eaf8d541d878882a2ab230dc","","2/6/2021","1","2"
"56306","0x92020c8e005049a87259e23780575905fc4fe2d1","","2/6/2021","1","7"
"56307","0x8dc296c44155b40e700690234ce69c1dacd3ed12","","2/6/2021","1","36"
"56308","0x7177a49b7d949402dccea9cf0081112ca82069fa","","2/6/2021","1","37"
"56309","0x06d1b187bf586818f1a80b440fbcb6472029d7e9","","2/6/2021","1","10"
"56310","0x419f94a1588d868848e64164503e362591ee0012","","2/6/2021","1","5"
"56311","0x257473f80cb684d85d4d6a98babe7c552312517a","","2/6/2021","1","7"
"56312","0x69eff5883f777a1e5c6d10eb402a2d25d648136a","","2/6/2021","1","8"
"56313","0x70c0f6653501a282d1106b42c38bfad00e7294ea","","2/6/2021","1","9"
"56314","0x705a9cd6ff3ac3891362217f01670f6a38820ff2","","2/6/2021","1","7"
"56315","0xab0b1f994f263846eb7a19f466d373e90ec7966a","","2/6/2021","1","11"
"56316","0xb9b8ef61b7851276b0239757a039d54a23804cbb","","2/6/2021","1","17"
"56317","0xa87722643685b38d37ecc7637aca9c1e09c8c5e1","","2/6/2021","1","13"
"56318","0xbeab7ccc1846f2720afb67bb4e29c205f6b6db1e","","2/6/2021","1","9"
"56319","0x5cbdfa9b5529a294b204dd1c916f71adc280bb30","","2/6/2021","1","2"
"56320","0x95d9c7efafa5cb2168870ab901b8676da2562461","","2/6/2021","1","48"
"56321","0x315debd2d7fae5a6718b3187fd07eb384861b960","","2/6/2021","1","14"
"56322","0xa289001bd43ece47fb7f78ac0301296d32d6bb49","","2/6/2021","1","13"
"56323","0x25d1d9851ed49202a0ad034a2797e3b991ff29e0","","2/6/2021","1","10"
"56324","0x28296d4e213dea5f51762228ce3cfe6408fba3c3","","2/6/2021","1","7"
"56325","0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c","","2/6/2021","1","47"
"56326","0xd05f5687fc24bcb8830f86fb6f389925ccd3b2f5","","2/6/2021","1","7"
"56327","0xf1a35243286cc9749072b5c024ae8ba14ad2efd6","","2/6/2021","1","6"
"56328","0xe7d46987b3e8fce0b2c8d2d9ab1f2ce204ce166d","","2/6/2021","1","5"
"56329","0xa0572248583361fd2260b1fe1c7257639f9247de","","2/6/2021","1","2"
"56330","0x39bddf06f02e5328dbdd30246b4cc613e5f0e08d","","2/6/2021","1","7"
"56331","0xa992afc09846a822c749d775735e7abe9383801a","","2/6/2021","1","5"
"56332","0x2b027f7411ab26db77b8a29c26a2ebaa4bedae78","","2/6/2021","1","50"
"56333","0x8b104344f397afc33ee55c743a0fbd7d956201cd","","2/6/2021","1","823"
"56334","0x129b1c3e4c15ff89add730ae6c03ceb97d0ff32b","","2/6/2021","1","19"
"56335","0x6a7cb078f0f0d70bd348300ad6a6a735ca8c96f1","","2/6/2021","1","5"
"56336","0xf7a8331336d43ead6fd72faa942c2a1c644baad3","","2/6/2021","1","3"
"56337","0x8913b99d5efd9e391ade59168230f6425813d90a","","2/6/2021","1","14"
