"ID","Collection","ENS","Minting Date","Tx Count","Power"
"1","0xea5ce2f9a33d36534ee3409d81322feb3f91ed8a","","Thu 09 Mar 2023 18:54:25 GMT","1","6"
"2","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Thu 09 Mar 2023 18:54:25 GMT","1","1483"
"3","0x9c9c51e479a531e714594ab04db4b79a39662991","dmf7z.eth","Thu 09 Mar 2023 18:54:25 GMT","1","70"
"4","0xab0db30354d9e0382ad1cb30ef82108e38bfdde0","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"5","0x13319b164837034d24c21ba5eec5aa3b8e13c4a8","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"6","0x4e76245544a8e40501eaf0eba307249ab80bbbe4","gomox.eth","Thu 09 Mar 2023 18:54:25 GMT","1","28"
"7","0x614a61a3b7f2fd8750acaad63b2a0cfe8b8524f1","reneil.eth","Thu 09 Mar 2023 18:54:25 GMT","1","128"
"8","0x123d956563261571569233624fbec7c9fe5a0af2","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"9","0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2","nanexcool.eth","Thu 09 Mar 2023 18:54:25 GMT","1","264"
"10","0xa3f0d54a263520375e01c17b8ffbd3190745bbd9","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"12","0x68f9d801c96ac6ccf562f3600cef77c4504449b6","brukhman.eth","Thu 09 Mar 2023 18:54:25 GMT","1","27"
"13","0x080c006c972121f46b7ef5c00b27d1b2500c90d8","","Thu 09 Mar 2023 18:54:25 GMT","1","4"
"14","0x5585579b5f7bd0a67edd3b86510defa844a9af58","","Thu 09 Mar 2023 18:54:25 GMT","1","5"
"15","0x423cfaa3ab7b9f63743a23fc3b77e2a951385fe4","","Thu 09 Mar 2023 18:54:25 GMT","2","12"
"16","0x8dbbca57ea56290efa14d835bbfd34faf1d89753","vonmises.eth","Thu 09 Mar 2023 18:54:25 GMT","2","40"
"17","0x5a384227b65fa093dec03ec34e111db80a040615","matoken.eth","Thu 09 Mar 2023 18:54:25 GMT","1","205"
"18","0xa00567bd0463172dc344cb666d7fc0a71bc29742","","Thu 09 Mar 2023 18:54:25 GMT","1","5"
"19","0x3203b7a45b2af35c6bee7871a39f54d0dfdf777e","","Thu 09 Mar 2023 18:54:25 GMT","1","7"
"20","0x8dbbca57ea56290efa14d835bbfd34faf1d89753","vonmises.eth","Thu 09 Mar 2023 18:54:25 GMT","2","40"
"21","0x3bdcd88a9639f85818ed5a35e2abf6292d9b0377","jeffc.eth","Thu 09 Mar 2023 18:54:25 GMT","2","45"
"23","0xec982f5400adffb0e35fe3e855e2b385377ad04b","","Thu 09 Mar 2023 18:54:25 GMT","1","2"
"24","0x8c3b776bdac9a7a4facc3cc20cdb40832bff9005","justinleroux.eth","Thu 09 Mar 2023 18:54:25 GMT","2","130"
"25","0x811a16ebf03c20d9333ff5321372d86da9ad1f2e","","Thu 09 Mar 2023 18:54:25 GMT","1","11"
"26","0x819d64ac448dfed4615079c8110dc65a7571db8f","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"27","0x4a8f6434499f8c9371a98db9824b4b8ae2ba9fe2","wallet.alexfisher.eth","Thu 09 Mar 2023 18:54:25 GMT","1","91"
"28","0x8d435d7b2d9bfb30a9447bc8db21924d5a62cfe2","","Thu 09 Mar 2023 18:54:25 GMT","3","2"
"29","0x1f70005488b5fc5e0221a06bf6de5de72a1f0d83","","Thu 09 Mar 2023 18:54:25 GMT","1","2"
"30","0x982fcc072c33585fc4408b3c42a472de901ff75d","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"31","0xae7f5df4d8f8410e182e6822ea748b0e95995c4e","","Thu 09 Mar 2023 18:54:25 GMT","1","6"
"32","0x8dbbca57ea56290efa14d835bbfd34faf1d89753","vonmises.eth","Thu 09 Mar 2023 18:54:25 GMT","2","40"
"34","0x06f2d637be4e461fed8386204da8d0d1a1939ce9","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"35","0xb42446bf01056bc4055fd458c522489e84b58be6","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"36","0x9ee5e3ff06425cf972e77c195f70ecb18ac23d7f","cybourgeoisie.eth","Thu 09 Mar 2023 18:54:25 GMT","2","9"
"37","0x43afd60f566707c08f3f48ca411fe299661fe353","","Thu 09 Mar 2023 18:54:25 GMT","1","1"
"38","0x1c3113ef975143f18fdde72718d64b3e936c5dc8","","Thu 09 Mar 2023 18:54:25 GMT","2","1"
"39","0xf0044084b22097a0b34a316238b8f945c55640d7","","Thu 09 Mar 2023 18:54:25 GMT","1","2"
"40","0xe583f95bf95d0883f94efe844442c8bfc9dd7a7f","","Thu 09 Mar 2023 18:54:25 GMT","1","3"
