"ID","Collection","ENS","Minting Date","Tx Count","Power"
"550723","0xf6b6f07862a02c85628b3a9688beae07fea9c863","poap.eth","Mon 19 Jul 2021 07:59:20 GMT","1","1483"
"554117","0x75505a9857a0bfb2f7707481ef33a09f9927b69c","","Mon 19 Jul 2021 22:18:30 GMT","1","5"
"558173","0xf2dfcae8fef5b5cd5d89a527d193da567a5d6297","tomso.eth","Tue 20 Jul 2021 06:40:25 GMT","1","485"
"558256","0x61bab25bced0e6804428b98cde53b9821933186f","","Tue 20 Jul 2021 07:15:20 GMT","1","77"
"558262","0xb6d052d6f5921d52c1c14b69a02de04f840cefcd","wackerow.eth","Tue 20 Jul 2021 07:16:55 GMT","2","483"
"558270","0xdae005395074c3073328adff5a6bc9196b1ff977","corwintines.eth","Tue 20 Jul 2021 07:18:35 GMT","1","78"
"558295","0x56d389c4e07a48d429035532402301310b8143a0","colfax.eth","Tue 20 Jul 2021 07:26:40 GMT","1","626"
"558301","0xa56356c918f15a5d9478ac337600ee451f90b75f","","Tue 20 Jul 2021 07:28:00 GMT","1","22"
"558302","0xe04885c3f1419c6e8495c33bdcf5f8387cd88846","skydao.eth","Tue 20 Jul 2021 07:28:35 GMT","1","489"
"558306","0xe048e012adb4cf265fb9f634017229a0dc694060","","Tue 20 Jul 2021 07:30:20 GMT","1","59"
"558308","0xb9b8ef61b7851276b0239757a039d54a23804cbb","bruno.eth","Tue 20 Jul 2021 07:31:10 GMT","1","34"
"558315","0x8f5e117858b96780ae6c0f2ac9616fd313b8a501","","Tue 20 Jul 2021 07:33:10 GMT","1","1"
"558317","0xc3f6e18b429b6baf1bd31b1e504aee7827c7aab5","matlemad.eth","Tue 20 Jul 2021 07:33:25 GMT","1","31"
"558319","0xa5d4a4ac8150001529873398dacbd1a6e15aba83","bipbop.eth","Tue 20 Jul 2021 07:33:35 GMT","1","11"
"558326","0xefa21088f3830cd7d9f526ea268f7aaba34f785f","heuer.eth","Tue 20 Jul 2021 07:36:05 GMT","1","87"
"558334","0x7944628107aad413da27214e888eb7c9da61bd88","frankdfr.eth","Tue 20 Jul 2021 07:38:55 GMT","1","4"
"558342","0xc24888bf16ad80cbdec81d99ae49b005f2ef79b6","","Tue 20 Jul 2021 07:42:00 GMT","1","2"
"558347","0x579146aea6a878801ce997ddc27a0ccae1501047","","Tue 20 Jul 2021 07:43:15 GMT","1","2"
"558357","0x9011b0093d6e3107e6b7ca3892e73d97f23de6a9","","Tue 20 Jul 2021 07:45:30 GMT","1","3"
"558363","0xbd12aa424c207e90b66402c1f0aec357e8b1ded7","nethan.eth","Tue 20 Jul 2021 07:47:05 GMT","1","48"
